                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9449,                 2.5597,                 2.7096,                0.48186,                 0.4547,                0.45209,                0.33481,                 2.5071,                 3.6391,                 3.3598,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.9125,                 2.5293,                 2.6712,                0.44776,                0.48415,                0.48488,                0.34266,                 2.4445,                 3.6292,                 3.2357,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.9484,                 2.5676,                 2.7272,                0.50803,                0.46678,                0.46708,                0.35523,                 2.4169,                 3.5311,                 3.2451,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.9169,                 2.4592,                 2.7044,                 0.4768,                0.45649,                0.44799,                0.34175,                  2.439,                 3.7832,                 3.3133,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.9262,                 2.4691,                 2.7101,                0.60266,                0.45955,                0.49214,                0.35193,                 2.4404,                 3.5221,                 3.3072,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.8991,                 2.4262,                 2.6596,                0.62215,                0.48368,                0.54753,                0.41672,                 2.3479,                 3.3883,                  3.177,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.8927,                 2.3596,                 2.6566,                0.55566,                 0.5209,                0.53092,                0.38423,                 2.3629,                  3.471,                 3.2306,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.8377,                 2.3337,                  2.622,                0.60021,                0.43097,                0.46638,                 0.3414,                 2.5392,                 3.8625,                 3.4083,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.8227,                 2.2411,                 2.6142,                0.62054,                0.38858,                0.46218,                0.33443,                 2.4822,                 3.6283,                 3.3502,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.8666,                 2.2922,                 2.6239,                0.57491,                0.43441,                0.48454,                0.35856,                 2.4782,                 3.6579,                 3.3626,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.7836,                 2.1517,                  2.559,                0.50202,                0.47216,                0.48085,                0.34892,                 2.4121,                 3.8584,                  3.271,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.7388,                 2.2048,                 2.5565,                0.56727,                0.49003,                0.51787,                 0.3901,                 2.4198,                 3.5149,                 3.2771,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.8146,                 2.1711,                 2.5825,                0.57865,                0.49721,                0.49782,                0.36303,                 2.5166,                  3.506,                 3.4316,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.7038,                 2.1079,                 2.5373,                0.60966,                0.44774,                0.51445,                0.38061,                 2.4771,                 3.8368,                 3.3278,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.7067,                 2.1186,                 2.5263,                0.54308,                0.50809,                0.51249,                 0.3838,                 2.4141,                 3.6726,                 3.2673,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.7463,                 2.0524,                 2.5247,                0.64446,                0.41889,                0.49638,                0.36327,                 2.3757,                 3.7062,                 3.2305,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.6892,                 2.1064,                 2.5468,                 0.5267,                0.47502,                 0.4775,                0.36392,                  2.452,                 3.7566,                 3.3597,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.6955,                  1.988,                 2.5119,                0.60436,                0.45206,                0.49399,                0.37044,                  2.438,                 3.8898,                 3.2988,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.6557,                 1.9792,                 2.4943,                0.60018,                0.44347,                0.50346,                0.39956,                 2.3984,                 3.6209,                 3.2881,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.6374,                  1.843,                 2.4533,                0.66008,                0.47322,                0.53337,                 0.3967,                  2.469,                  3.521,                 3.3558,             0.00052806,             0.00052806,             0.00052806
