                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7964,                 2.0907,                 2.4419,                0.51571,                0.49959,                0.48621,                0.36079,                 2.4904,                 3.4858,                 3.1366,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.8449,                 2.1166,                 2.4246,                0.46405,                0.56111,                0.47359,                0.32695,                 2.6703,                 3.5865,                 3.3116,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.8655,                 2.1168,                 2.4418,                0.61744,                0.47477,                0.51057,                0.36812,                 2.6159,                 3.6998,                 3.2576,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.7639,                 2.0473,                 2.4193,                0.46514,                0.46774,                0.44982,                0.32823,                 2.5967,                 4.1733,                  3.323,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.7776,                 1.9907,                 2.4026,                0.48499,                0.55515,                0.49631,                0.35871,                 2.5938,                 3.4622,                 3.2937,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.7699,                 1.9847,                 2.3717,                0.62036,                0.46456,                0.52904,                0.39847,                 2.4633,                 3.4968,                 3.1341,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.7722,                 1.9782,                  2.399,                0.53868,                0.52149,                0.49501,                0.35148,                 2.5883,                 3.5726,                 3.2531,             0.00067104,             0.00067104,             0.00067104
                     42,                  1.721,                 1.9066,                  2.349,                0.60156,                0.46055,                0.48977,                0.36439,                 2.4625,                  3.508,                 3.1247,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.7105,                 1.8721,                 2.3661,                 0.5599,                0.51757,                0.51455,                0.36441,                 2.5961,                 3.7689,                 3.2538,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.7283,                 1.8659,                  2.383,                 0.5673,                0.52613,                0.52464,                 0.3831,                 2.5399,                 3.4919,                 3.2198,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.7119,                 1.8617,                 2.3665,                0.56026,                0.47108,                0.50934,                0.37398,                 2.5336,                 3.5225,                 3.2094,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.6378,                 1.7622,                  2.313,                0.45815,                0.50085,                0.48104,                0.34493,                 2.5402,                 3.6175,                 3.1925,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.6179,                 1.7517,                 2.3216,                0.55036,                0.43168,                0.43241,                0.32866,                 2.4774,                 3.7692,                 3.1481,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.6411,                 1.7224,                 2.3469,                 0.6661,                0.50189,                0.54681,                0.40659,                 2.5257,                 3.5723,                 3.2049,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.5954,                 1.6897,                 2.2789,                0.57214,                0.48241,                 0.5043,                0.37084,                 2.5012,                 3.6904,                 3.2312,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.6285,                 1.7335,                 2.3053,                0.55357,                0.49817,                0.48323,                0.35063,                 2.5077,                 3.6419,                 3.2244,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.6041,                 1.6619,                 2.3114,                 0.4858,                0.54203,                0.49438,                0.36735,                 2.5286,                 3.5647,                 3.1747,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.6027,                 1.6416,                 2.2624,                0.50601,                0.55372,                0.51233,                0.36444,                 2.4598,                 3.4642,                 3.1955,             0.00055006,             0.00055006,             0.00055006
